,comment
230,"Você compra o celular como novo, e so depois da compra feita eles manda mensagem falando que é de vitrine, falam que tem garantia de 3 meses, em menos de um mês o botão home começou a falhar, entrei e contato e informaram que so tinha 7 dias de garantia! pessimo! não comprem !."
231,Produto anunciado como novo e é usado.
232,"Comprei como novo e a autorizada aqui, bem como o 0800 eua disse q o celular foi vendido em 2017."
233,O produto não é novo como anunciado. Dirige-me a uma loja autorizada da apple e foi constatado que o aparelho havia sido ligado em 2017 no reino unido.
234,"O produto falaram que tinha garantia de 1 ano. Agora eu chamo a loja no whats a não respondem, a apple fala que o produto vendido não tem garantia pq é uma série do produto que não deveria ter sido comercializada! não usem! ngm responde, não tem garantia e agora eu tenho um celular de quase 4 mil reais sem funcionar e sem nenhum tipo de suporte!."
235,"Ótimo!. Produto veio certinho, com carregador, capinha e até uma película 3d. Eu tinha comprado até o carregador antes de comprar o celular, pensei que não vinha com carregador. É confiável. Iphone branco 128 gb."
236,"Celular excelente, corresponde as expectativas. Bateria dura umas 20h ate precisar carregar novamente. Unico ponto ruim é vir sem a tomadinha de carregar (nao pude aproveitar nenhuma ja que o cabo tem entrada lightning e a que entra na tomada é um usb-c) e fone de ouvido. A desculpa da apple de que isso é pelo meio ambiente nao cola, ja que tive que comprar a parte e ainda tem as embalagens extra dos produtos. O correto seria dar a opcao da pessoa dizer se ja possui os itens ou nao."
237,"O aparelho está com a tela travada, teve problema no carregador. Estou levando na autorizada, mas tenho desconfiança que me venderam um produto usado, como se fosse novo. Estou muito insatisfeito."
238,"Primeira vez que uso ios, apesar de estar “apanhando um pouco” para me acostumar com o novo sistema estou amando. Celular ótimo sem problema algum!."
239,"O celular apresentou defeito no segundo dia de uso,apagou e nao quiz mais ligar."
240,"Quem tem iphone sabe que a experiência é única. Eu estava saindo de um 7 plus e cogitei a possibilidade de pegar um samsung, mas só foi mexer um pouco no android pra lembrar pq eu tenho iphone. É fluido, rápido, poderoso, e o acabamento é impecável. Esse xr está lindo, o face id é muito prático, a tela é grande na medida certa. O que mais me surpreendeu: a bateria dura muito. Eu tiro da tomada às 6:30 da manhã e só volto pra casa às 23 e não preciso nem utilizar power bank (num uso moderado de aplicativos de produtividade e redes sociais). O que eu acho que talvez possa desagradar os mais exigentes é a câmera, que para mim produz resultados inferiores ao 7 e 8 plus."
241,Achei o iphone xr um excelente custo x benefício. Peca apenas por não ter 5g nem tela oled. Mas a bateria dura bastante e tem um design top. Recomendo!.
242,"Otimo celular. Eu so nao dei 5 estrelas, pois informaram que o telefone é novo e lacrado. O celular estava em otimos condicões pois nunca foi usado, mas nao veio lacrado, veio sem a caixa original e confirmei no site da apple, que ele nao tem mais a garantia de 12 meses do fabricante pois ja esta expirado. Mas a bateria veio com saude de 100%."
243,Uma porcaria funcionou 30 dia e parou do nada.
244,"Muito bom câmera superior você se ver igual no espelho , esse negócio de armazenamento pouco é conversa furada 64 gb é suficiente. Sistema rápido nunca trava , nunca. Bateria dura o dia inteiro, até mais que um android com 5000 amp. O sistema é fechado ,não pense que você vai baixar uma música ou vídeo na internet fácil não. Se for pra se exibir pagar de rico e ter boas fotos compre!!! agora , se quiser liberdade facilidade é custo benefício android mas o iphone apesar de ter um sistema fechado é superior em tudo , realmente é uma coisa de alienígena,. O produto é original pode comprar sem nenhum medo. Agradeça meu tempo perdido dando um like no comentário pfv."
245,"Estranho que ao consultar o numero de serie interno do aparelho ele se trata aparentemente. De um aparelho usado , remontado na china , isso é o tipo de imformacao que deveria ser obrigatoriamente descrita na venda do produto, resta saber se vai funcionar como deve e apos essa constatacao vou mandar para a loja da apple para verificar a procedencia do mesmo."
246,"Veio com o plastico da capa violado, ai gera realmente a duvida se ja nao foi usado ou se mecheram por dentro."
247,Aparelho com 5 meses apresentou o problema.
248,"Telefone top! sei q tem muitos outros aparelhos bons, mas, tive muitas decepcoes com outras marcas no passado e desde uns 10 anos para cá só uso apple e nunca mais tive nenhum problema de hardware ou lentidao/travamento. Sem contar na valorizacao do aparelho, depois de 4anos de uso vendi meu iphone6 por 1,500 reais. Recomendo qualquer iphone acima do x. Bateria dura o dia inteiro."
249,"Excelente produto, tem custo alto mas vale a pena."
250,Otimo custo beneficio. Recomendo.
251,"Otimo, pena nao haver opcao de digital, apenas face id."
252,Um produto excelente. Sem mais detalhes esse é o melhor smartphone que eu ja comprei!.
253,Com defeito. Nao fazem troca.
254,"Excelente, eu tinha um iphone 6 mas precisava me atualizar, estou gostando muito do iphone 11."
255,"Produto original, qualidade nem se fala quando se trata de produtos apple. Consegui uma promocão boa no iphone 11 de 256gb e não perdi a oportunidade."
256,Preciso da nota fiscal do produto.
257,"Muito bom, super recoemendo a única coisa que deixa a desejar é o preço e ausencia de carregador."
258,"Excelente celular, só não vale o que custa. Voltaria pro android se meu aparelho auditivo não fosse ""made for iphone"". Ios muito travado em questões de personalização, é muito na base do ""é assim e pronto, aceita"". No android se vc não gosta de alguma coisa, baixa um app e muda tudo. Ios não te permite sequer editar um número no discador sem ter que apagar tudo."
259,- smartphone top. - bateria top. - esperava mais da câmera.
260,"Saí do android e arrisquei direto no iphone 13. Aparelho incrível, se for curioso / profissional, descobrirá incontáveis funções para auxiliar em seu trabalho no dia-dia. Além de bonito e fluído. Excelente!."
261,Um produto maravilhoso vem tudo certinho e chega sem atraso nenhum parabéns. Amei indico sempre.
262,Achei ruim pois o sinal do wafii não funciona.
263,"Produto tudo certo, pode confia."
264,"Otimo ! recomendo a todos,execelente vendendor !."
265,Achei bom por enquanto não deu nem um problema.
266,Nem um ano de uso e o microfone parou de funcionar!. Gravar áudio e até ligações. Decepcionado em relação à isso.
267,"Espetacular! é um iphone, não precisa falar mais nada."
268,Péssimo muito ruim uma verdadeira porcaria.
269,"Hoje com 4 dias de uso, o produto está funcionando perfeitamente, minha esposa amou. Lindo demais!."
270,Bom aparelho estou sastifeito hjjjhjjjjjjkkkkk.
271,Muito boa estou muito feliz e contente gostei muito produto.
272,"Exelente produto, realmente original!."
273,"Eu amei meu produto, adoro comprar com vocês!."
274,"O produto é falso. Quebrei a tela e levei para trocar, disseram que não é verdadeiro. Abrem os olhos."
275,Está com um problema sério de não reter carga na bateria.
276,"Cuidado! são produtos recondicionados e usados. E vendido como novos. Dica! olhem o imei antes e consutem em uma autorizada apple, se já houve uma ativação do aparelho."
277,Excelente produto. Exatamente como descrito.
278,Veio carregador não original.
279,"Não é novo! apesar de ser anunciado como tal! com 04 meses de uso o microfone estragou, a tecla de volume afundou! uma merda. Vendem como novo, mas não é. Providencias da minha parte já estão sendo tomadas."
280,Pecima compra não deu um mês de uso já deu problema mandei de volta e até hoje não me mandaram o iphone ainda. Estou indignada com isso com certeza já era usado e mandarão por novo. Desde janeiro estou na espera. E só me enrolando.
281,"Confesso que estava com receio que não viesse um produto de qualidade, haja vista que o preço era muito baixo: 1. 950,00! mas, felizmente veio sem nenhuma avaria! produto bom que está funcionando direitinho! super recomendo! parabéns!."
282,Super indico ☺️. Feliz com a compra. Meu sobrinho tá amando 🤩💖.
283,Bateria já está ruim não tem nei 5 mês. Desespsonada.
284,"O produto nao eh novo como dizia na pagina e veio um aparelho sem garantia de reparos e etc. (como diz na pagina da apple… (produto expirado) o sistema nfc nao funciona e du nada as vezes apaga. Estou muito insatisfeito com produto , caso nao resolva esse problema, vou entra com ação contra a loja por colocar propaganda enganosa. Tirando a demora pra mandar a nota fiscal e quando vem a nota fiscal vem com outro produto. Por isso quero saber como é que vai resolver esse problema porque eu não posso ser lesado por isso sendo assim já vou tomar as minhas providências."
285,"Já tive 03 iphones (4, 6 e o 7) e esse xr é o melhor de todos. Quem sempre teve android deveria experimentar usar o iphone é uma experiência muito boa. Tentei usar 2x um celular com android e não terminei voltando para o iphone, dentre eles o a51 que é muito bom, porém não é, nem de longe, a mesma experiência de uso. Falando um pouco desse celular, a câmera é muito boa, a pegada, o sistema muito fluido e a bateria é excelente (já cheguei a ficar 3 dias sem carregar, claro usando pouco). Podem comprar que não vão se arrepender."
286,"O produto e incrivel, por ser um iphone. Mas o vendendor ficou a desejar nos detalhes do celular, oque veio para mim esta com 92% de bateria e 1 risco na frente e 1 atras, os dois sao superficiais mas eu gostaria de ser avisado sobre isso e sobre a bateria do mesmo. E a camera tbm esta um pouco riscada a caixa dela, e por ultimo e o maior problema e que o produto sem com um cabo de carregar paralelo muito ruim. Como eu disse acima nao tem problema, so gostaria de ser aviso sobre isso."
287,O aparelho vendido não é regulamentado pela anatel. A bateria veio com saude de 97% e não veio fone de ouvido mesmo na caixa escrito que continha.
288,Bateria veio com problema !.
289,"Um verdadeiro salto na bateria, eu venho de um xr e sinceramente. É muito grande a diferença. No design, em praticatemente tudo. A not da camera frontal é menor. Sem palavras, estou adorando. Recomendo!."
290,Produto execelente muito rapido cameras top é meu primeiro iphone depois de anos no android e até o momento nada a reclamar só o preço alto kkk mas pela durabilidade e a revenda ou troca vale muito a pena ter um não me arrependo do investimento.
291,Iphone é caro né como sempre mais não tem oque dizer a câmera muito boa é a tela tbm não tenho quer dizer iphone é iphone. Gostei muito pois veio capinha é película de ótima qualidade 😁.
292,"Meu segundo iphone. Passei do 7 plus para o 13, para quem fica com ele pelo menos uns 4 anos acho que é custo beneficio."
